Layer,Name,GEOID,UMP_2012-2016,HDX_2012-2016,INC_2012-2016,POC_2016-2020,CHALYRO_2016
,,,"Unemployment rate (%), 2012-2016","Hardship Index (score), 2012-2016","Median household income, 2012-2016","People of color (% of residents), 2016-2020","Child Opportunity Index 3.0 (ED), 2016"
Community area,Rogers Park,1,8.504513572877206,62.972504962864825,49554.028565890825,55.04637728164608,34.654442144
Community area,Norwood Park,10,5.4095813548225715,25.48356985322108,97173.95208879767,22.00444625911391,57.010877998
Community area,Jefferson Park,11,7.503843108237212,38.28131134308272,84758.01159705805,41.73794882728365,50.24741268
Community area,Forest Glen,12,4.552057997239468,17.079266817084157,146273.52831758704,25.966173701075668,78.559728497
Community area,North Park,13,7.390087169069813,61.0602888441983,74466.64683385128,50.897868900639835,53.61274902
Community area,Albany Park,14,7.592916971607945,66.59574801729221,76593.80996934304,65.50475766154216,38.007948147
Community area,Portage Park,15,7.814533564830802,52.0117580490912,76784.89449749255,52.69909732995115,35.420486693
Community area,Irving Park,16,6.260530100305288,44.35039337801685,82514.02268292998,55.66375537197887,35.030482534
Community area,Dunning,17,5.337868391746731,41.99417463760969,78839.3200759531,40.154571985759546,41.766343053
Community area,Montclare,18,7.470824697612093,61.12014954292985,64882.03474412719,63.174892548188836,25.768150579
Community area,Belmont Cragin,19,10.442466526008715,83.83635091073593,60371.09033413676,85.40090191798392,15.493742221
Community area,West Ridge,2,9.277455499920206,73.95403717476756,71746.54722863504,57.723181840096636,49.514028217
Community area,Hermosa,20,8.721375410560038,84.85694178630453,51753.718521344694,89.98134874048634,6.9385627929
Community area,Avondale,21,6.070592071610099,65.51507026326843,62730.26335016426,64.66149608104799,27.011055482
Community area,Logan Square,22,4.7485062217248295,35.12659386205256,93276.19192704401,47.62138310823538,32.244531849
Community area,Humboldt Park,23,14.93173055850796,90.06875089107399,45044.063628367265,90.7326417557795,6.6218284501
Community area,West Town,24,5.385399791507629,20.662366828164135,108311.15143342088,36.91104374699691,43.991002503
Community area,Austin,25,17.04073643576873,85.10521898678383,46440.558366569254,94.67331025362944,5.7682458618
Community area,West Garfield Park,26,18.65676904799777,95.63158851366335,31313.02637091856,97.07647370589073,3.1250443034
Community area,East Garfield Park,27,18.684724001815816,89.68851030377407,32819.61436122616,93.91239858788124,10.098601127
Community area,Near West Side,28,12.798522179619763,34.06573783451569,85027.90635727021,55.61788892960576,64.011994611
Community area,North Lawndale,29,20.64210055834195,94.02255011408288,33843.809644826964,95.44867093502839,2.758848195
Community area,Uptown,3,7.395400278944366,43.190019914245234,66133.28662158347,46.65286679547689,50.195683826
Community area,South Lawndale,30,9.108743730345443,95.55133463432459,46463.414768462215,94.89343363235369,9.2392817789
Community area,Lower West Side,31,10.189564499471258,80.75819535121813,53646.981697730196,77.26001425150926,29.801149697
Community area,Loop,32,5.920283579354245,2.766569990257163,138845.6465152503,40.95445534460237,71.574648246
Community area,Near South Side,33,4.592362029397013,3.781610157242892,104852.3159111056,48.8105845962213,76.543669021
Community area,Armour Square,34,17.253372796805255,89.08350706618296,32354.22817607692,85.7610798911833,47.486274943
